ShipmentID,TemplateID,ServiceDate,Status,CreatedBy,ClientID,ClientName,SiteID,SiteName,SiteRegion,WasteTypeID,WasteTypeName,WasteCategory,TreatmentMethod,ProfileNumber,WasteCodes,SourceCode,FormCode,TreatmentCode,EwcNumber,ManagementMethod,TriWasteCode,IsRegulatedRCRA,Quantity,UnitOfMeasure,WeightPerUnitLbs,StandardizedLbs,StandardizedKg,ContainerType,TargetLoadWeightLbs,ContainerLocation,ServiceFrequency,VendorID,VendorName,VendorType,VendorRiskLevel,TransporterName,ReceivingFacility,MilesToFacility,PlatformHaulCost,PlatformDisposalCost,PlatformFuelFee,PlatformEnvFee,PlatformOtherFee,PlatformTotalCost,CustomerHaulBilled,CustomerDisposalBilled,CustomerFuelBilled,CustomerEnvBilled,CustomerOtherBilled,CustomerTotalBilled,RebateCredit,MarginSpread,Notes
410068,11,2024-07-08,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-8,Ceramic Balls,Non Haz,Recycling,41590,,,,,,,,No,3.6,DM,550.0,1980.0,898.11,55gal Drum,550,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,0.0,4802.51,0.0,0.0,0.0,4802.51,0.0,0.0,0.0,0.0,0.0,0.0,0,-4802.51,
019928114FLE,12,2024-07-09,submitted,sroberts,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-9,Broken Battery,Hazardous Waste,Recycling,,,,,,,RE,M93,Yes,0.77,Lb,105.0,80.85,36.67,"Fiberboard or plastic drums, barrels, kegs",500,Waste Dock,On Call,vnd-3,Republic Services,Disposal,Level 1 - High,Republic Services,Republic Services #721,45.2,150.0,65.45,25.0,0.0,0.0,240.45,200.0,77.0,30.0,0.0,0.0,307.0,0,66.55,
019928115FLE,13,2024-07-10,submitted,jsmith,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-10,Washer Fluid,Hazardous Waste,Fuel Blending,,,,,,,ER,M56,Yes,0.94,Lb,459.0,431.46,195.71,"Metal drums, barrels, kegs",1000,Chemical Storage,On Call,vnd-6,Heritage Environmental,Disposal,Level 1 - High,Heritage Environmental,Heritage Thermal Services,120.3,200.0,141.0,30.0,15.0,0.0,386.0,250.0,164.5,35.0,20.0,0.0,469.5,0,83.5,Emergency cleanup
410071,14,2024-07-12,submitted,mchen,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-1,Trash,Non Haz,Landfill,,,,,,,LF,M64,No,1.11,Lb,70780.0,78565.8,35636.89,"Metal boxes, cartons, cases (including roll-offs)",80000,Trash Compactor,2x Week,vnd-4,Waste Management,Disposal,Level 1 - High,Waste Management,Clearview Landfill,85.7,850.0,49.95,75.0,0.0,0.0,974.95,950.0,61.05,85.0,0.0,0.0,1096.05,0,121.1,
410072,15,2024-07-06,pending,ajohnson,cli-3,Stellantis,site-8,Sterling Heights,Midwest,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,5.38,Ton,2000.0,10760.0,4880.66,42CY Compactor,16000,Loading Dock B,3x Week,vnd-3,Republic Services,Disposal,Level 1 - High,Republic Services,Republic Services #721,45.2,525.0,511.1,45.0,0.0,0.0,1081.1,600.0,591.8,50.0,0.0,0.0,1241.8,0,160.7,
410073,16,2024-07-08,submitted,sroberts,cli-3,Stellantis,site-8,Sterling Heights,Midwest,wt-4,Cardboard/OCC,Recycling,Recycling,,,,,,,,,No,7.44,Ton,2000.0,14880.0,6749.46,Trailer,16000,Recycling Bay,On Call,vnd-9,Pratt Industries,Recycler,Level 2 - Medium,Pratt Industries,Republic Services #721,45.2,0.0,37.2,0.0,0.0,0.0,37.2,0.0,0.0,0.0,0.0,0.0,-1147.5,1147.5,-1184.7,
410074,17,2024-07-09,submitted,jsmith,cli-4,Ford Motor Company,site-10,Dearborn Plant,Midwest,wt-20,Paint Booth Mopping,Non Haz,Landfill,,,,,,,,,No,6.12,DM,459.0,2809.08,1274.18,"Metal drums, barrels, kegs",3000,Paint Shop,On Call,vnd-6,Heritage Environmental,Disposal,Level 1 - High,Heritage Environmental,Heritage Thermal Services,120.3,350.0,1224.0,40.0,20.0,0.0,1634.0,425.0,1468.8,50.0,25.0,0.0,1968.8,0,334.8,Scheduled pickup
410075,18,2024-07-10,submitted,mchen,cli-4,Ford Motor Company,site-10,Dearborn Plant,Midwest,wt-22,Pallets (Wood),Recycling,Recycling,,,,,,,,,No,1.19,Lb,12000.0,14280.0,6477.31,Dump truck,15000,Yard,Once a Month,vnd-14,Millennium Recycling,Recycler,Level 1 - High,Millennium Recycling,Clearview Landfill,85.7,200.0,0.0,25.0,0.0,0.0,225.0,250.0,0.0,30.0,0.0,0.0,-255.5,535.5,-480.5,
410076,1,2024-07-12,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,2.71,Ton,2000.0,5420.0,2458.47,30CY Roll Off,2500,Dock 10,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,450.98,294.25,0.0,0.0,0.0,745.23,275.0,243.9,0.0,0.0,0.0,518.9,0,-226.33,
410077,2,2024-07-13,pending,sroberts,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,4.94,Ton,2000.0,9880.0,4481.5,42CY Compactor,16000,Dock 10,2x Week,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,450.98,536.39,0.0,0.0,0.0,987.37,275.0,444.6,0.0,0.0,0.0,719.6,0,-267.77,
410078,3,2024-07-15,submitted,jsmith,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,2.48,Ton,2000.0,4960.0,2249.82,30CY Roll Off,2500,Trash Room,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,450.98,269.28,0.0,0.0,0.0,720.26,275.0,223.2,0.0,0.0,0.0,498.2,0,-222.06,
410079,4,2024-07-09,submitted,mchen,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-2,Filter Cake,Non Haz,Landfill,,,,,,,,,No,10.82,Ton,2000.0,21640.0,9815.75,30CY Roll Off,16000,WWT,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,717.46,873.28,0.0,0.0,122.97,1713.71,400.0,486.9,0.0,0.0,75.0,961.9,0,-751.81,
410080,5,2024-07-10,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-2,Filter Cake,Non Haz,Landfill,,,,,,,,,No,5.79,Ton,2000.0,11580.0,5252.61,30CY Roll Off,16000,WWT,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,717.46,467.31,0.0,0.0,122.97,1307.74,400.0,260.55,0.0,0.0,75.0,735.55,0,-572.19,
410081,6,2024-07-12,submitted,sroberts,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-3,Paint Filter,Non Haz,Landfill,,,,,,,,,No,3.31,Ton,2000.0,6620.0,3002.79,30CY Roll Off,2000,WWT,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,717.46,267.15,0.0,0.0,122.97,1107.58,400.0,148.95,0.0,0.0,75.0,623.95,0,-483.63,
410082,7,2024-07-13,pending,jsmith,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-4,Cardboard/OCC,Recycling,Recycling,,,,,,,,,No,13.52,Ton,2000.0,27040.0,12265.15,Trailer,16000,Trash Room,On Call,vnd-5,Domtar / New Indy,Recycler,Level 2 - Medium,New Indy,Kingsport Packaging,281.5,0.0,101.4,0.0,0.0,0.0,101.4,0.0,0.0,0.0,0.0,0.0,-2096.03,2096.03,-2197.43,Scheduled pickup
019928128FLE,8,2024-07-15,submitted,mchen,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-5,MEK,Hazardous Waste,Incineration,41587,"D001, F005",G06,W209,H040,08 01 11*,,,Yes,4.5,DM,420.0,1890.0,857.29,55gal Drum,420,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,30.0,562.5,0.0,0.0,0.0,592.5,0.0,0.0,0.0,0.0,0.0,0.0,0,-592.5,
019928129FLE,9,2024-07-16,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-6,Paint and Solvent,Hazardous Waste,Incineration,41588,"D001, F005",G06,W209,H040,08 01 11*,,,Yes,7.36,DM,420.0,3091.2,1402.15,55gal Drum,420,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,30.0,920.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-950.0,
019928130FLE,10,2024-07-17,submitted,sroberts,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-7,Paint Solids,Hazardous Waste,Incineration,41589,"D001, F005",G06,W209,H040,08 01 11*,,,Yes,4.36,DM,300.0,1308.0,593.3,55gal Drum,2000,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,30.0,1853.0,0.0,0.0,0.0,1883.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1883.0,
410086,11,2024-07-12,submitted,jsmith,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-8,Ceramic Balls,Non Haz,Recycling,41590,,,,,,,,No,3.78,DM,550.0,2079.0,943.02,55gal Drum,550,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,0.0,5042.63,0.0,0.0,0.0,5042.63,0.0,0.0,0.0,0.0,0.0,0.0,0,-5042.63,
019928132FLE,12,2024-07-13,pending,mchen,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-9,Broken Battery,Hazardous Waste,Recycling,,,,,,,RE,M93,Yes,0.83,Lb,105.0,87.15,39.53,"Fiberboard or plastic drums, barrels, kegs",500,Waste Dock,On Call,vnd-3,Republic Services,Disposal,Level 1 - High,Republic Services,Republic Services #721,45.2,150.0,70.55,25.0,0.0,0.0,245.55,200.0,83.0,30.0,0.0,0.0,313.0,0,67.45,
019928133FLE,13,2024-07-15,submitted,ajohnson,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-10,Washer Fluid,Hazardous Waste,Fuel Blending,,,,,,,ER,M56,Yes,1.0,Lb,459.0,459.0,208.2,"Metal drums, barrels, kegs",1000,Chemical Storage,On Call,vnd-6,Heritage Environmental,Disposal,Level 1 - High,Heritage Environmental,Heritage Thermal Services,120.3,200.0,150.0,30.0,15.0,0.0,395.0,250.0,175.0,35.0,20.0,0.0,480.0,0,85.0,
410089,14,2024-07-16,submitted,sroberts,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-1,Trash,Non Haz,Landfill,,,,,,,LF,M64,No,1.17,Lb,70780.0,82812.6,37563.21,"Metal boxes, cartons, cases (including roll-offs)",80000,Trash Compactor,2x Week,vnd-4,Waste Management,Disposal,Level 1 - High,Waste Management,Clearview Landfill,85.7,850.0,52.65,75.0,0.0,0.0,977.65,950.0,64.35,85.0,0.0,0.0,1099.35,0,121.7,
410090,15,2024-07-17,submitted,jsmith,cli-3,Stellantis,site-8,Sterling Heights,Midwest,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,3.11,Ton,2000.0,6220.0,2821.35,42CY Compactor,16000,Loading Dock B,3x Week,vnd-3,Republic Services,Disposal,Level 1 - High,Republic Services,Republic Services #721,45.2,525.0,295.45,45.0,0.0,0.0,865.45,600.0,342.1,50.0,0.0,0.0,992.1,0,126.65,Scheduled pickup
410091,16,2024-07-19,submitted,mchen,cli-3,Stellantis,site-8,Sterling Heights,Midwest,wt-4,Cardboard/OCC,Recycling,Recycling,,,,,,,,,No,7.96,Ton,2000.0,15920.0,7221.2,Trailer,16000,Recycling Bay,On Call,vnd-9,Pratt Industries,Recycler,Level 2 - Medium,Pratt Industries,Republic Services #721,45.2,0.0,39.8,0.0,0.0,0.0,39.8,0.0,0.0,0.0,0.0,0.0,-1228.5,1228.5,-1268.3,
410092,17,2024-07-20,pending,ajohnson,cli-4,Ford Motor Company,site-10,Dearborn Plant,Midwest,wt-20,Paint Booth Mopping,Non Haz,Landfill,,,,,,,,,No,6.48,DM,459.0,2974.32,1349.13,"Metal drums, barrels, kegs",3000,Paint Shop,On Call,vnd-6,Heritage Environmental,Disposal,Level 1 - High,Heritage Environmental,Heritage Thermal Services,120.3,350.0,1296.0,40.0,20.0,0.0,1706.0,425.0,1555.2,50.0,25.0,0.0,2055.2,0,349.2,
410093,18,2024-07-15,submitted,sroberts,cli-4,Ford Motor Company,site-10,Dearborn Plant,Midwest,wt-22,Pallets (Wood),Recycling,Recycling,,,,,,,,,No,1.25,Lb,12000.0,15000.0,6803.89,Dump truck,15000,Yard,Once a Month,vnd-14,Millennium Recycling,Recycler,Level 1 - High,Millennium Recycling,Clearview Landfill,85.7,200.0,0.0,25.0,0.0,0.0,225.0,250.0,0.0,30.0,0.0,0.0,-282.5,562.5,-507.5,
410094,1,2024-07-16,submitted,jsmith,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,2.92,Ton,2000.0,5840.0,2648.98,30CY Roll Off,2500,Dock 10,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,450.98,317.05,0.0,0.0,0.0,768.03,275.0,262.8,0.0,0.0,0.0,537.8,0,-230.23,Emergency cleanup
410095,2,2024-07-17,submitted,mchen,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,5.26,Ton,2000.0,10520.0,4771.8,42CY Compactor,16000,Dock 10,2x Week,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,450.98,571.13,0.0,0.0,0.0,1022.11,275.0,473.4,0.0,0.0,0.0,748.4,0,-273.71,
410096,3,2024-07-19,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,2.61,Ton,2000.0,5220.0,2367.75,30CY Roll Off,2500,Trash Room,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,450.98,283.39,0.0,0.0,0.0,734.37,275.0,234.9,0.0,0.0,0.0,509.9,0,-224.47,
410097,4,2024-07-20,pending,sroberts,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-2,Filter Cake,Non Haz,Landfill,,,,,,,,,No,6.22,Ton,2000.0,12440.0,5642.7,30CY Roll Off,16000,WWT,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,717.46,502.02,0.0,0.0,122.97,1342.45,400.0,279.9,0.0,0.0,75.0,754.9,0,-587.55,
410098,5,2024-07-22,submitted,jsmith,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-2,Filter Cake,Non Haz,Landfill,,,,,,,,,No,6.2,Ton,2000.0,12400.0,5624.55,30CY Roll Off,16000,WWT,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,717.46,500.4,0.0,0.0,122.97,1340.83,400.0,279.0,0.0,0.0,75.0,754.0,0,-586.83,Scheduled pickup
410099,6,2024-07-23,submitted,mchen,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-3,Paint Filter,Non Haz,Landfill,,,,,,,,,No,3.51,Ton,2000.0,7020.0,3184.22,30CY Roll Off,2000,WWT,On Call,vnd-1,Waste Connections,Disposal,Level 1 - High,Waste Connections,Cheatham County Disposal,12.3,717.46,283.29,0.0,0.0,122.97,1123.72,400.0,157.95,0.0,0.0,75.0,632.95,0,-490.77,
410100,7,2024-07-18,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-4,Cardboard/OCC,Recycling,Recycling,,,,,,,,,No,14.21,Ton,2000.0,28420.0,12891.11,Trailer,16000,Trash Room,On Call,vnd-5,Domtar / New Indy,Recycler,Level 2 - Medium,New Indy,Kingsport Packaging,281.5,0.0,106.58,0.0,0.0,0.0,106.58,0.0,0.0,0.0,0.0,0.0,-2202.61,2202.61,-2309.18,
019928146FLE,8,2024-07-19,submitted,sroberts,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-5,MEK,Hazardous Waste,Incineration,41587,"D001, F005",G06,W209,H040,08 01 11*,,,Yes,4.86,DM,420.0,2041.2,925.87,55gal Drum,420,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,30.0,607.5,0.0,0.0,0.0,637.5,0.0,0.0,0.0,0.0,0.0,0.0,0,-637.5,
019928147FLE,9,2024-07-20,pending,jsmith,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-6,Paint and Solvent,Hazardous Waste,Incineration,41588,"D001, F005",G06,W209,H040,08 01 11*,,,Yes,7.84,DM,420.0,3292.8,1493.59,55gal Drum,420,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,30.0,980.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1010.0,
019928148FLE,10,2024-07-22,submitted,mchen,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-7,Paint Solids,Hazardous Waste,Incineration,41589,"D001, F005",G06,W209,H040,08 01 11*,,,Yes,4.6,DM,300.0,1380.0,625.96,55gal Drum,2000,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,30.0,1955.0,0.0,0.0,0.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1985.0,
410104,11,2024-07-23,submitted,ajohnson,cli-1,AO Smith,site-1,Ashland City,Southeast,wt-8,Ceramic Balls,Non Haz,Recycling,41590,,,,,,,,No,2.16,DM,550.0,1188.0,538.87,55gal Drum,550,Drum Pad,On Call,vnd-2,Safety Kleen,Disposal,Level 1 - High,Safety Kleen,Safety Kleen Nashville,26.9,0.0,2881.5,0.0,0.0,0.0,2881.5,0.0,0.0,0.0,0.0,0.0,0.0,0,-2881.5,
019928150FLE,12,2024-07-25,submitted,sroberts,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-9,Broken Battery,Hazardous Waste,Recycling,,,,,,,RE,M93,Yes,0.89,Lb,105.0,93.45,42.39,"Fiberboard or plastic drums, barrels, kegs",500,Waste Dock,On Call,vnd-3,Republic Services,Disposal,Level 1 - High,Republic Services,Republic Services #721,45.2,150.0,75.65,25.0,0.0,0.0,250.65,200.0,89.0,30.0,0.0,0.0,319.0,0,68.35,
019928151FLE,13,2024-07-26,submitted,jsmith,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-10,Washer Fluid,Hazardous Waste,Fuel Blending,,,,,,,ER,M56,Yes,1.06,Lb,459.0,486.54,220.69,"Metal drums, barrels, kegs",1000,Chemical Storage,On Call,vnd-6,Heritage Environmental,Disposal,Level 1 - High,Heritage Environmental,Heritage Thermal Services,120.3,200.0,159.0,30.0,15.0,0.0,404.0,250.0,185.5,35.0,20.0,0.0,490.5,0,86.5,Scheduled pickup
410107,14,2024-07-20,pending,mchen,cli-2,General Motors,site-6,MPS Plant 550781,Midwest,wt-1,Trash,Non Haz,Landfill,,,,,,,LF,M64,No,1.23,Lb,70780.0,87059.4,39489.53,"Metal boxes, cartons, cases (including roll-offs)",80000,Trash Compactor,2x Week,vnd-4,Waste Management,Disposal,Level 1 - High,Waste Management,Clearview Landfill,85.7,850.0,55.35,75.0,0.0,0.0,980.35,950.0,67.65,85.0,0.0,0.0,1102.65,0,122.3,
410108,15,2024-07-22,submitted,ajohnson,cli-3,Stellantis,site-8,Sterling Heights,Midwest,wt-1,Trash,Non Haz,Landfill,,,,,,,,,No,3.36,Ton,2000.0,6720.0,3048.14,42CY Compactor,16000,Loading Dock B,3x Week,vnd-3,Republic Services,Disposal,Level 1 - High,Republic Services,Republic Services #721,45.2,525.0,319.2,45.0,0.0,0.0,889.2,600.0,369.6,50.0,0.0,0.0,1019.6,0,130.4,
410109,16,2024-07-23,submitted,sroberts,cli-3,Stellantis,site-8,Sterling Heights,Midwest,wt-4,Cardboard/OCC,Recycling,Recycling,,,,,,,,,No,8.49,Ton,2000.0,16980.0,7702.01,Trailer,16000,Recycling Bay,On Call,vnd-9,Pratt Industries,Recycler,Level 2 - Medium,Pratt Industries,Republic Services #721,45.2,0.0,42.45,0.0,0.0,0.0,42.45,0.0,0.0,0.0,0.0,0.0,-1309.5,1309.5,-1351.95,
410110,17,2024-07-25,submitted,jsmith,cli-4,Ford Motor Company,site-10,Dearborn Plant,Midwest,wt-20,Paint Booth Mopping,Non Haz,Landfill,,,,,,,,,No,6.84,DM,459.0,3139.56,1424.08,"Metal drums, barrels, kegs",3000,Paint Shop,On Call,vnd-6,Heritage Environmental,Disposal,Level 1 - High,Heritage Environmental,Heritage Thermal Services,120.3,350.0,1368.0,40.0,20.0,0.0,1778.0,425.0,1641.6,50.0,25.0,0.0,2141.6,0,363.6,
410111,18,2024-07-26,submitted,mchen,cli-4,Ford Motor Company,site-10,Dearborn Plant,Midwest,wt-22,Pallets (Wood),Recycling,Recycling,,,,,,,,,No,0.71,Lb,12000.0,8520.0,3864.61,Dump truck,15000,Yard,Once a Month,vnd-14,Millennium Recycling,Recycler,Level 1 - High,Millennium Recycling,Clearview Landfill,85.7,200.0,0.0,25.0,0.0,0.0,225.0,250.0,0.0,30.0,0.0,0.0,-39.5,319.5,-264.5,
